h,k,l,d(Angstrom),F(real),F(imag),|F|,2Theta,I,M,ID(lambda),Phase
1,0,0,3.426863, -93.971253,-17.962899,95.6727,25.98010, 23.89515, 6,    1,    1
1,0,0,3.426863, -93.929508,-18.028850,95.6441,26.04412, 11.87855, 6,    2,    1
0,0,2,3.069000,-138.703958,-34.211725,142.861,29.07252, 13.98806, 2,    1,    1
0,0,2,3.069000,-138.622914,-34.337148,142.812,29.14449,  6.95246, 2,    2,    1
1,0,1,2.992121,-157.349660,-30.754343,160.327,29.83662,100.00000,12,    1,    1
1,0,1,2.992121,-157.278244,-30.867265,160.279,29.91057, 49.70559,12,    2,    1
1,0,2,2.286197,  80.589077, 17.127159,82.3889,39.38031, 14.42277,12,    1,    1
1,0,2,2.286197,  80.549278, 17.190043,82.3631,39.47964,  7.16667,12,    2,    1
1,1,0,1.978500, 186.697140, 35.805067,  190.1,45.82608, 27.33282, 6,    1,    1
1,1,0,1.978500, 186.615435, 35.936708,190.044,45.94341, 13.57968, 6,    2,    1
1,0,3,1.756715, 116.177246, 27.879361,119.476,52.01477, 16.19250,12,    1,    1
1,0,3,1.756715, 116.112294, 27.981701,119.436,52.15021,  8.04314,12,    2,    1
2,0,0,1.713431, -74.757284,-17.734916,76.8321,53.43139,  3.14943, 6,    1,    1
2,0,0,1.713431, -74.716068,-17.800030,76.8071,53.57110,  1.56436, 6,    2,    1
1,1,2,1.662897,-118.223136,-33.783339,122.955,55.19089, 14.98515,12,    1,    1
1,1,2,1.662897,-118.143155,-33.907197,122.913,55.33600,  7.44283,12,    2,    1
2,0,1,1.650336, 126.753366, 30.363799,130.339,55.64725, 16.52704,12,    1,    1
2,0,1,1.650336, 126.682855, 30.475287,130.297,55.79377,  8.20898,12,    2,    1
0,0,4,1.534500, 139.565936, 29.757159,142.703,60.26287,  2.75876, 2,    1,    1
0,0,4,1.534500, 139.498212, 29.866587, 142.66,60.42401,  1.37035, 2,    2,    1
2,0,2,1.496060,  67.168982, 16.909768,69.2648,61.97931,  3.66361,12,    1,    1
2,0,2,1.496060,  67.129688, 16.971853,69.2419,62.14607,  1.81975,12,    2,    1
1,0,4,1.400502, -56.466897,-14.726501,58.3556,66.73604,  2.21519,12,    1,    1
1,0,4,1.400502, -56.432657,-14.780568,58.3362,66.91890,  1.10047,12,    2,    1
2,0,3,1.313628,-100.805131,-27.526129,104.496,71.80228,  6.11710,12,    1,    1
2,0,3,1.313628,-100.741007,-27.627173,104.461,72.00331,  3.03986,12,    2,    1
2,1,0,1.295229, -64.821084,-17.509823,67.1444,72.98513,  2.44715,12,    1,    1
2,1,0,1.295229, -64.780392,-17.574110,67.1219,73.19056,  1.21623,12,    2,    1
2,1,1,1.267320,-110.337160,-29.978216,114.337,74.86339, 13.53469,24,    1,    1
