! Data file: La2O3junio3.xy
! Format:     10  - XYSIGMA
! position      background_value
       11.46776     3326.66675
       12.80705     2833.00000
       14.30390     2384.00000
       14.77659     2357.00000
       17.11378     1849.00000
       18.76820     1584.66663
       20.13375     1460.66663
       21.60434     1299.66663
       22.99615     1181.00000
       23.86275     1125.66663
       25.51716     1051.33337
       26.09490     1056.33337
       28.93104      995.33331
       29.32495      898.33331
       30.63797      877.66669
       33.23777      708.33331
       34.62958      692.33331
       35.36488      693.00000
       37.33442      610.66669
       37.72832      615.33331
       40.56447      621.00000
       41.03716      609.66669
       43.21679      575.00000
       44.66111      536.66669
       45.63276      505.00000
       46.39431      543.00000
       49.28297      769.33331
       50.56974      471.33334
       51.93529      422.66666
       52.27668      413.33334
       53.82605      436.33334
       55.90064      558.33331
       57.26619      460.33334
       59.28825      423.33334
       60.12859      380.33334
       61.17901      373.33334
       62.72839      367.66666
       64.69793      497.33334
       66.66747      364.33334
       66.79877      341.00000
       68.74205      362.00000
       70.52777      434.66666
       71.78828      371.33334
       73.83660      333.33334
       74.49312      356.33334
       75.49102      439.66666
       78.22211      550.33331
       79.77149      337.00000
       79.95531      317.33334
       81.37338      332.66666
       83.65806      314.66666
       84.34083      321.00000
       87.01941      315.66666
       87.28201      318.00000
       89.77676      377.66666
